target,model,r2,rmse,mae,error_rate,test_rows,test_stations,train_rows,train_stations,persistence_pairs,persistence_median_gap_days,persistence_r2,model_r2_paired,model_minus_persistence,target_transform,log_offset,smearing_factor,cv_mae_raw_fit,cv_mae_log_fit,r2_log,persistence_r2_log,model_r2_paired_log,model_minus_persistence_log
Total Dissolved Solids,Gradient Boosting,0.4324,94.7455,68.3148,22.24,3902,117,14109,465,3785,28.0,0.8107,0.4287,-0.3819,none,,,62.931064,63.556266,,,,
Total Suspended Solids,Gradient Boosting,0.0664,201.5351,44.4644,72.02,2435,111,12088,442,2324,31.0,-0.9931,0.1037,1.0967,log10,0.196,1.22842,103.861986,69.142904,0.3378,0.1046,0.3403,0.2358
Turbidity,Gradient Boosting,0.0377,85.9014,23.8518,70.62,3581,169,17575,675,3412,29.0,-0.7883,0.0377,0.826,log10,0.14,1.2658,47.487307,28.982286,0.2832,0.0553,0.2889,0.2337
E. coli,Gradient Boosting,0.0629,9762.5847,1488.5883,93.69,3831,87,12066,347,3744,27.0,-0.7406,0.063,0.8035,log10,1.5,1.76567,2228.117205,1582.782832,0.358,-0.1638,0.3567,0.5205
WQI,Gradient Boosting,0.2778,14.579,11.787,29.25,4622,189,22676,754,4433,27.0,0.1718,0.2795,0.1077,none,,,11.941434,12.259528,,,,
Water Temperature,Neural Network,0.9207,2.4827,1.8637,25.79,6092,200,28613,799,5892,27.0,0.6403,0.9229,0.2825,none,,,,,,,,
Dissolved Oxygen,Neural Network,0.452,1.9885,1.4163,16.68,6640,182,25185,727,6458,20.0,0.3249,0.4636,0.1387,none,,,1.682724,2.177835,,,,
pH,Neural Network,0.1621,0.5799,0.4372,5.55,5673,222,26680,885,5451,28.0,-0.0605,0.1652,0.2257,none,,,0.470701,0.56904,,,,
Nitrate,Neural Network,0.2382,4.9987,3.163,111.05,2719,56,9628,222,2663,15.0,0.3984,0.2345,-0.1639,none,,,,,,,,
Nitrite,Neural Network,-0.1864,0.1334,0.0564,186.91,2271,46,9340,183,2225,15.0,-0.6899,-0.1764,0.5135,none,,,,,,,,
Nitrate + Nitrite,Neural Network,0.3261,3.7106,2.6391,74.99,1045,74,3614,293,971,33.0,0.1896,0.2859,0.0963,none,,,2.643967,3.095507,,,,
Total Phosphorus,Neural Network,0.0202,0.472,0.1875,63.9,1294,91,4592,362,1203,33.0,0.3191,0.016,-0.3032,log10,0.0012,1.427744,0.220852,0.172265,0.0987,0.3771,0.0931,-0.284
Specific Conductance,Neural Network,0.0203,201.0129,134.1641,26.08,4617,97,11450,386,4520,1.0,0.8559,0.0119,-0.844,none,,,132.66612,235.617721,,,,
Total Dissolved Solids,Neural Network,0.4249,95.3661,75.8143,24.68,3902,117,14109,465,3785,28.0,0.8107,0.4236,-0.3871,none,,,76.769596,126.538167,,,,
Total Suspended Solids,Neural Network,0.0652,201.6583,72.7495,104.97,2435,111,12088,442,2324,31.0,-0.9931,0.0514,1.0445,none,,,98.776554,110.828552,,,,
Turbidity,Neural Network,0.0575,85.0123,26.1877,79.79,3581,169,17575,675,3412,29.0,-0.7883,0.059,0.8473,log10,0.14,1.692954,38.415573,32.965485,0.2245,0.0553,0.2323,0.177
E. coli,Neural Network,0.0256,9954.7329,2273.3008,132.17,3831,87,12066,347,3744,27.0,-0.7406,0.0262,0.7667,none,,,2511.031946,2671.646412,,,,
WQI,Neural Network,0.1056,16.2235,13.2849,32.52,4622,189,22676,754,4433,27.0,0.1718,0.1101,-0.0617,none,,,12.943231,16.445987,,,,
